Podcast Name,Episode Title,Date,Episode Description,Guess of Sponsorship,Matched Keyword
,,,,,
台灣通勤第一品牌,EP159 先到先得,"Wed, 01 Dec 2021 13:20:29 GMT","本集節目由【YOXI】贊助播出

好消息好消息📢📢
yoxi 週年慶，11/19 - 12/30開催中，多重好禮等你搭車帶回去👇👇

🎉一天一蘋果，iPhone13趟趟抽
週週抽7隻iPhone 13、還有最高$4500通勤月票趟趟抽，搭越多中獎機率越高

🎉友情大評薦，Apple Watch S7 推薦好友註冊滿額送
不用抽、免加價購，總共58支，Apple Watch S7 推薦200好友註冊yoxi立即送給你

🎉台通鮮🦐挺，12/30前，輸入【何不搭車】$150($30*5)專屬搭車金立即領

優惠詳情看這裡 :  https://bit.ly/3Fo2oIV 
想拿好禮，何不立即下載 yoxi : https://yoxirider.page.link/ZJKz
",sponsored,贊助播出
台灣通勤第一品牌,EP160 金曲獎四度得主無情奪獎心法初公開 ft.吳金黛,"Fri, 03 Dec 2021 13:47:49 GMT","本集節目由 【Alpecin咖啡因洗髮露】贊助播出
 -- 亞洲限定金色版，輕奢吸金直達頂標 --
獨家專利咖啡因配方強健髮根，適合所有男性使用 
德國No.1 #Alpecin咖啡因洗髮露，頂級魅力一瓶擁有，
 限量生產電商獨賣，蝦皮台通專區79折下殺優惠 
*買再贈精美小禮物 &gt;&gt; https://bremen.tw/commute 
讓你今年冬天洗到明年，金色帶來一整年吉利大發好運 
聽台通，一起用老朋友Alpecin 在家痛快洗頭 #健髮123 #強健髮根

",sponsored,贊助播出
台灣通勤第一品牌,EP161 👆👆👆高來高去👇👇👇,"Wed, 08 Dec 2021 14:21:54 GMT","本集節目由【BFF!?  – 樂天國際銀行】合作播出
 今天、馬上、立刻開戶才趕得上→超限時年利率3.88%高利快閃優惠存款(活動只到12/9)
   鐵粉都會背了吧? 樂天國際銀行→開戶推薦序號輸入WIN，啟用金融卡回饋200元現金! 新戶都有
！PChome網購回饋50%(每人最多回饋1000元)
 開戶連結：https://pse.is/3qq9nb 
活動詳情：https://pse.is/3kjhj2 
======================太多優惠需要分隔線===============================
 打開樂天銀行App付款5次(不限金額)，下個月存款的”活存”年利率就是1%(存款額度無上限！)。 
活動詳情：https://pros.is/3y2bsf 
 VIP帳戶手續費優惠( 新戶都是VIP)：每月跨行轉帳、提款最多各8次免手續費。到日本領日幣也有8次免手續費！ 
活動詳情：https://pros.is/3z67bt  
24H手機就能申貸，貸款年利率1.68%起，開辦費只收NT$ 1,000。 
活動詳情：https://pros.is/3we447
",sponsored,合作播出
台灣通勤第一品牌,EP162 使用前應詳閱公開說明書,"Sun, 12 Dec 2021 14:32:20 GMT","本集節目由【捷元電腦】贊助播出

『捷元 15T EVO筆記型電腦  』給您工作、學習、娛樂。全方位一次到位

🔺Intel® EVO™ 認證平台 
🔺超強續航力可達9小時以上
🔺快速反應一秒睡眠即時喚醒功能
🔺現購買捷元還能免費為您升級Windows 11 

即刻入手🛒
https://reurl.cc/Q6vpgO 
https://momo.dm/nVAviA 

。捷元電腦為消費者量身打造專屬個人品牌電腦
。擁有全台200家捷元通路服務聯盟維修保固有保障
https://www.genuine.com.tw/
",sponsored,贊助播出
台灣通勤第一品牌,EP163 比例尺,"Wed, 15 Dec 2021 11:01:27 GMT","本集節目由【SHIELD｜全境機能斜肩包】合作播出
台灣新創品牌，第一款可以 #雙向USB充放電 的輕智能 #防盜斜肩包，可以同時替兩台3C設備充電(手機、雲台、GoPro)，也能放在包內充電讓你出門不忘記帶走。實用的 #多層次收納 空間，貼心的 #多功能掛鉤 與 #防水拉鍊 設計，搭載 #義大利 精品的幾何前端圖形設計，SHIELD 絕對是你 #日常外出 與 #戶外遊玩 的 #時尚百搭 好伙伴！
 
📢 台通聽眾專屬優惠價$1390，現省$960↘️(優惠倒數只到12/31)
📢『現貨』限量各100個，現在下單就能即刻擁有！
 
優先搶購👉 https://lihi1.com/i8A4m
 
⚠️ ⚠️ 下單時選項標示「現貨」即可立即出貨，「預購」為2022/02出貨。
",sponsored,專屬優惠
台灣通勤第一品牌,EP164 大GUY4這樣,"Sat, 18 Dec 2021 16:25:40 GMT","本集節目由【台通新晉好友Insula遊戲評測】合作播出

邀請預備年末轉職、新鮮人、想更了解自己實力的鐵粉，先來蝦挺一波玩遊戲做評測！
想跟家倫一樣是酷酷集團嗎？下面連結開玩看你酷不酷！

★測驗職場軟實力（哈波魔法學院版）
https://insula.pse.is/3vx7tn 
測驗不同職業類別需要的軟實力，並依據遊戲評測結果分到專屬的哈利波特魔法學院。
不管你的新鮮人、年後轉職、還是了解自己的實力，都非常適合來測驗自己的軟實力！

★BigFive Ocean 海海人生
https://insula.pse.is/3ystgv 
透過心理學認證的五大人格測驗，搭配趣味插圖，帶你輕鬆下潛人格之海，找到代表你的海洋生物。五大人格是現代心理學中描述最高組織層次的五面向特質：O經驗開放性、C嚴謹性、E外向性、A親和性、N情緒穩定性，描述個人於生活事件中穩定一致的行為、感覺、想法。

★泡泡糖
https://insula.pse.is/3uaydj 
讚的遊戲！測驗某種特質與傾向，在遇到特殊情境下，會偏好做出的決策或行為。

★企業諮詢請寄信：marketing@talfin.ai

",sponsored,合作播出
台灣通勤第一品牌,EP165 單數有孤，雙則圓滿,"Tue, 21 Dec 2021 16:08:42 GMT","本集節目由【法國植萃養髮專家 蔻蘿蘭】贊助播出

讓法國蔻蘿蘭來拯救你漸漸消失的髮絲豐盈感~~
在網路的討論度很高養髮系列，現在成分更升級效果更強！
使用蔻蘿蘭養髮洗、護、精華三步驟，給頭皮滿滿的營養，頭髮豐厚感就回來了！

聽台通 養頭髮! 選喜歡的賣場~折扣碼大放送!

&gt;MOMO限時 養髮精華+洗髮精400ml(37折) 先至會員中心折價券輸入折扣碼W4AAGXDNTPL1
https://reurl.cc/Q6kz30
 
&gt;康是美獨家養髮強韌洗髮組(5折)，12/26前輸入折扣碼COSMED100 再折100 https://bit.ly/32jZPt8

&gt;蝦皮限時 養髮強韌洗護組(57折)，12/27前輸入折扣碼AVEN00120 再折120 https://bit.ly/3l9CiBK

",sponsored,贊助播出
台灣通勤第一品牌,EP166 本週中心德目：🎄保暖🎄,"Sun, 26 Dec 2021 14:56:36 GMT","本集節目由【聖誕不缺席的  – 樂天國際銀行】合作播出

🧐 🎄 🙊聖誕禮物來了(抽Switch算驚喜嗎?)

⭐聖誕開卡禮：開戶推薦序號輸入WIN，啟用金融卡回饋200元現金!

⭐購物狂血拚禮：本月新戶在 PChome網購回饋50%(每人最多回饋1000元)

⭐高利儲蓄禮：2021/12/30前開立7天專案優存，就享有年息2.22%， 每人限做一筆新台幣20萬元，樂天國際銀行一直對你好！

⭐聖誕抽獎禮：活動期間成功撥貸正常繳款，抽任天堂Switch Oled款式主機。

👉開戶連結：https://pse.is/3qq9nb 

👉活動詳情：https://pse.is/3kjhj2 

====== 太多優惠需要分隔線 =======

💨打開樂天銀行App付款5次(不限金額)，下個月存款的”活存”年利率就是1%(存款額度無上限！)。

活動詳情：https://pros.is/3wmwqc 

💨VIP帳戶手續費優惠( 新戶都是VIP)：每月跨行轉帳、提款最多各8次免手續費。到日本領日幣也有8次免手續費！

活動詳情：https://pros.is/3vk7mz 

💨24H手機就能申貸，貸款年利率1.68%起，開辦費只收NT$ 1,000。

活動詳情：https://pros.is/3zf8fe
",sponsored,合作播出
台灣通勤第一品牌,EP167 The Next Episode,"Wed, 29 Dec 2021 15:21:25 GMT","本集節目由【行政院農業委員會農糧署】 合作播出  

鳳梨釋迦品嚐小撇步
💡鳳梨釋迦現切新鮮嚐
💡冷凍吃有霜淇淋口感
💡加點檸檬汁酸甜好滋味

現在超商、量販店就可以買到鳳梨釋迦唷！快來將好釋帶回迦～
🏪『實體通路』
⭐️超商👉全家、萊爾富
⭐️量販店👉全聯、家樂福、楓康

📮『網購宅配送到家』
🌳農良直賣所🛒 reurl.cc/L7rkx3
🌳【企業團購專用】好釋連蓮預購平臺🛒 reurl.cc/V5Od7Q
「好釋農遊」加碼抽
即日起至1月30日，於農良直賣所或好釋連蓮預購平臺購入1箱6公斤700元以上鳳梨釋迦禮盒，就可獲得登記參加第二波加農遊券(面額888元)抽獎資格。第二波農遊券共有58萬份，要抽要快喔！
",sponsored,合作播出
